School,Selection Method,Min,Mean,Max
Lindblom,Rank,772,807.05,858
Lindblom,Tier 1,673,709.30,771
Lindblom,Tier 2,703,729.75,771
Lindblom,Tier 3,715,741.56,772
Lindblom,Tier 4,617,683.04,767
Northside Prep,Rank,894,897.02,900
Northside Prep,Tier 1,713,784.22,877
Northside Prep,Tier 2,844,868.45,893
Northside Prep,Tier 3,876,884.69,894
Northside Prep,Tier 4,888,891.08,894
Payton,Rank,898,899.26,900
Payton,Tier 1,792,848.61,897
Payton,Tier 2,871,886.45,898
Payton,Tier 3,882,890.21,897
Payton,Tier 4,894,895.95,898
South Shore Intl,Rank,684,728.98,820
South Shore Intl,Tier 1,602,637.60,682
South Shore Intl,Tier 2,608,646.69,683
South Shore Intl,Tier 3,600,640.86,680
South Shore Intl,Tier 4,602,622.25,668
Westinghouse,Rank,773,805.73,884
Westinghouse,Tier 1,675,707.44,770
Westinghouse,Tier 2,718,745.67,772
Westinghouse,Tier 3,675,721.97,772
Westinghouse,Tier 4,600,696.31,768
Young,Rank,883,890.07,900
Young,Tier 1,788,836.47,882
Young,Tier 2,838,855.67,882
Young,Tier 3,856,868.07,882
Young,Tier 4,871,877.45,883
Brooks,Rank,831.73,890,
Brooks,Tier 1,713.81,789,
Brooks,Tier 2,763.27,797,
Brooks,Tier 3,767.12,798,
Brooks,Tier 4,729.37,798,
Hancock,Rank,841.12,889,
Hancock,Tier 1,750.80,796,
Hancock,Tier 2,786.78,814,
Hancock,Tier 3,800.00,818,
Hancock,Tier 4,742.50,807,
Jones,Rank,895.26,900,
Jones,Tier 1,819.65,886,
Jones,Tier 2,868.83,889,
Jones,Tier 3,876.06,890,
Jones,Tier 4,887.13,890,
King,Rank,719.89,844,
King,Tier 1,630.03,675,
King,Tier 2,643.26,678,
King,Tier 3,636.02,675,
King,Tier 4,634.25,677,
Lane Tech,Rank,884.46,900,
Lane Tech,Tier 1,764.76,873,
Lane Tech,Tier 2,825.80,872,
Lane Tech,Tier 3,850.47,872,
Lane Tech,Tier 4,865.55,873,
